age,birthDayOfMonth,birthMonth,birthYear,bustSize,class,cupSize,height,hipSize,name,waistSize,weight,voiceBy
32,18,9,1987,85.0,class FemaleRealTalent,D,167.0,89.0,三田真央,60.0,54.0,
25,12,5,1994,87.0,class FemaleRealTalent,G,173.0,87.0,宮本エリアナ,60.0,58.0,
29,16,4,1990,86.0,class FemaleRealTalent,D,162.0,88.0,本間理紗,60.0,40.0,
34,21,10,1985,88.0,class FemaleRealTalent,E,168.0,85.0,中山エリサ,58.0,48.0,
39,20,11,1980,91.0,class FemaleRealTalent,F,167.0,87.0,小池栄子,59.0,60.0,
39,28,7,1980,103.0,class FemaleRealTalent,I,166.0,88.0,根本はるみ,60.0,58.0,
43,19,4,1976,84.0,class FemaleRealTalent,C,162.0,85.0,坂下千里子,58.0,48.0,
39,5,3,1980,87.0,class FemaleRealTalent,C,153.0,86.0,山田まりや,58.0,44.0,
29,25,12,1990,77.0,class FemaleRealTalent,B,162.0,87.0,清水芹夏,58.0,43.0,
36,3,5,1983,84.0,class FemaleRealTalent,E,163.0,80.0,渡部いずみ,58.0,47.0,
32,13,5,1987,86.0,class FemaleRealTalent,E,169.0,87.0,中村優,60.0,49.0,
26,2,3,1993,86.0,class FemaleRealTalent,E,166.0,86.0,山中真由美,64.0,51.0,
38,24,4,1981,82.0,class FemaleRealTalent,D,157.0,83.0,山本梓,55.0,47.2,
35,2,7,1984,84.0,class FemaleRealTalent,D,161.0,87.0,藤井リナ,57.0,43.0,
38,28,9,1981,105.0,class FemaleRealTalent,I,158.0,87.0,神楽坂恵,57.0,46.0,
45,24,1,1975,82.0,class FemaleRealTalent,E,161.0,83.0,宮内知美,58.0,43.0,
34,22,1,1986,88.0,class FemaleRealTalent,E,163.0,88.0,福西菜月,57.0,43.0,
25,13,10,1994,84.0,class FemaleRealTalent,G,160.0,83.0,佐野ひなこ,51.0,40.0,
31,26,9,1988,85.0,class FemaleRealTalent,E,160.0,87.0,黒木マリナ,56.0,48.0,
39,25,4,1980,85.0,class FemaleRealTalent,D,155.0,85.0,宮澤寿梨,56.0,44.0,
31,22,5,1988,80.0,class FemaleRealTalent,B,163.0,83.0,大山貴世,57.0,46.0,
34,11,10,1985,86.0,class FemaleRealTalent,G,158.0,86.0,木口亜矢,54.0,42.0,
35,28,7,1984,88.0,class FemaleRealTalent,D,166.0,87.0,伊藤かな,59.0,40.0,
36,16,5,1983,100.0,class FemaleRealTalent,H,157.0,89.0,愛川ゆず季,60.0,52.6,
34,23,9,1985,88.0,class FemaleRealTalent,E,153.0,88.0,くぼたみか,59.0,46.2,
39,17,4,1980,83.0,class FemaleRealTalent,C,172.0,88.0,RINA,60.0,49.5,
28,25,4,1991,83.0,class FemaleRealTalent,C,169.0,87.0,川辺優紀子,58.0,49.0,
39,25,6,1980,98.0,class FemaleRealTalent,I,158.0,86.0,竹内希実,60.0,45.0,
33,30,7,1986,76.0,class FemaleRealTalent,A,172.0,85.0,Nanami,58.0,43.0,
26,20,5,1993,83.0,class FemaleRealTalent,F,155.0,84.0,谷亜沙子,59.0,42.0,
34,29,4,1985,81.0,class FemaleRealTalent,B,165.5,89.0,榎本亜弥子,59.0,48.5,
32,3,3,1987,82.0,class FemaleRealTalent,D,165.0,83.0,青山玲子,58.0,42.0,
35,18,5,1984,82.0,class FemaleRealTalent,D,150.0,80.0,桜井せな,55.0,39.0,
35,22,2,1984,86.0,class FemaleRealTalent,F,160.0,85.0,庄司ゆうこ,56.0,43.0,
